ID,title,authors,source.title,publication.year,exclude,category,detailed.reason,notes,,
220,"Characterization of endozoochorous dispersal of pitayo Stenocereus queretaroensis, in Autlan, Jalisco, Mexico","Garcia-Ruiz, Miriam; Ruan-Tejeda, Irma; Zuloaga-Aguilar, Martha S.; Iniguez-Davalos, Luis I.",ETHOLOGY ECOLOGY & EVOLUTION,2018,y,title,not allocation,,,
221,Antioxidative and Antiradical Activities of Bioactive Compounds of Extracts From Algerian Prickly Pear (Opuntia ficus-indica. L) Fruits,"Benattia, Farah Kenza; Arrar, Zoheir",CURRENT NUTRITION & FOOD SCIENCE,2018,y,title,not allocation,,,
222,INDUCTION OF PARTHENOCARPY IN Opuntia spp.,"Varela-Delgadillo, Oscar E.; Livera-Munoz, Manuel; Muratalla-Lua, Alfonso; Carrillo-Salazar, Jose A.",REVISTA FITOTECNIA MEXICANA,2018,y,abstract,not free,could not download,,
223,Functional dioecy in Gleditsia amorphoides (Fabaceae),"Carolina Cerino, Maria; Cesar Castro, Damian; Alicia Richard, Geraldina; de Lujan Exner, Eliana; Francisco Pensiero, Jose",AUSTRALIAN JOURNAL OF BOTANY,2018,y,title,not cacti,,,
224,Genetic diversity of Ziziphus lotus natural populations from Algeria based on fruit morphological markers,"Boussaid, Mohamed; Taibi, Khaled; Abderrahim, Leila Ait; Ennajah, Amel",ARID LAND RESEARCH AND MANAGEMENT,2018,y,title,not cacti,,,
225,Pollination and reproductive system of synchronopatric species of Cactaceae (Cactoideae) subject to interspecific flow of pollen: an example of ecological adaptation in the Brazilian Chaco,"Ferreira, B. H. S.; Gomes, A. C.; Souza, C. S.; Fabri, J. R.; Sigrist, M. R.",PLANT BIOLOGY,2018,y,full text,not allocation,,,
226,"Composition, use and bioactive properties of prickly pear (Opuntia ficus-indica L. Mill.) fruit and seeds","Ozcan, Mehmet Musa; Matthaeus, Bertrand",ZEITSCHRIFT FUR ARZNEI- & GEWURZPFLANZEN,2017,y,title,not allocation,,,
227,"Synchronous fruiting and common seed dispersers of two endemic columnar cacti in the Caatinga, a dry forest in Brazil","Nobrega Gomes, Vanessa Gabrielle; Meiado, Marcos Vinicius; Maciel Quirino, Zelma Glebya; Pereira de Araujo, Helder Farias; Machado, Isabel Cristina",PLANT ECOLOGY,2017,y,abstract,not allocation,,,
228,Phytochemical composition and antioxidant activity of Tunisian cactus pear (Opuntia ficus indica L.) flower,"Ouerghemmi, Ines; Harbeoui, Hela; Wannes, Wissem Aidi; Rebey, Iness Bettaieb; Hammami, Majdi; Marzouk, Brahim; Tounsi, Moufida Saidani",JOURNAL OF FOOD BIOCHEMISTRY,2017,y,title,not fruit,,,
229,"Reproductive biology of Ferocactus recurvus (Mill.) Borg subsp recurvus (Cactaceae) in the Tehuacan-Cuicatlan Valley, Mexico","Cordova-Acosta, E.; Zavala-Hurtado, J. A.; Golubov, J.; Casas, A.",PLANT BIOLOGY,2017,y,full text,not allocation,,,
230,"Pollination biology of Agave horrida (Agavaceae) in the Chichinautzin mountain range, in Central Mexico","Flores-Torres, Arnoldo; Galindo-Escamilla, Andrea",BOTANICAL SCIENCES,2017,y,title,not fruit,,,
231,Reproductive ecology of the threatened  star cactus Astrophytum ornatum ( Cactaceae): a strategy of continuous reproduction with low success,"Loraine Matias-Palafox, Maria; Leonor Jimenez-Sierra, Cecilia; Golubov, Jordan; Mandujano, Maria C.",BOTANICAL SCIENCES,2017,y,abstract,not allocation,,,
232,"Sexual Propagation of the Tunisian Spinescent Opuntia ficus-indica (L.) Mill., Morphogenetic Deployment and Polymorphism","Stambouli-Essassi, Sondes; Zakraoui, Mariem; Bouzid, Sadok; Harzallah-Skhiri, Fethia",NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,2017,y,full text,not allocation,,,
233,"DESCRIPTION OF THE FRUIT OF NOPALEA COCHENILLIFERA (L.) SALM-DYCK SOLD IN THE TRADITIONAL MARKET OF RIOVERDE, SAN LUIS POTOSI, MEXICO","Antonio Reyes-Aguero, Juan; Rogelio Aguirre-Rivera, Juan",HASELTONIA,2016,y,title,not allocation,,,
234,Diet and Pollinator Role of the Long-Snouted Bat Platalina genovensium in Lomas Ecosystem of Peru,"Maguina, Rossana; Amanzo, Jessica",TROPICAL CONSERVATION SCIENCE,2016,y,title,not fruit,,,
235,Occurrence and characterisation of calcium oxalate crystals in stems and fruits of Hylocereus costaricensis and Selenicereus megalanthus (Cactaceae: Hylocereeae),"Vinas, Maria; Jimenez, Victor M.",MICRON,2016,y,title,not cacti,,,
236,Nutritive and Anti-Nutritive Composition of Moroccan Opuntia ficus indica Cladodes and Fruits,"Toure, Hamadoun Abba; Bouatia, Mustapha; Alouani, Imane; Idrissi, Mohammed O. B.; Hmamouch, Mohammed, I; Draoui, Mustapha",RESEARCH JOURNAL OF PHARMACEUTICAL BIOLOGICAL AND CHEMICAL SCIENCES,2016,y,title,not allocation,,,
237,Myiarchus flycatchers are the primary seed dispersers of Bursera longipes in a Mexican dry forest,"Carlos Almazan-Nunez, R.; Eguiarte, Luis E.; del Coro Arizmendi, Maria; Corcuera, Pablo",PEERJ,2016,y,title,not allocation,,,
238,EFFECTS OF PLANT GROWTH REGULATORS ON SEED GERMINATION AND CALLUS INDUCTION OF HYLOCEREUS COSTARICENSIS,"Sheng, Winson Koe Wei; Sundarasekar, Jeevandran; Sathasivam, Kathiresan; Subramaniam, Sreeramanan",PAKISTAN JOURNAL OF BOTANY,2016,y,abstract,not allocation,,,
239,Differential allelopathy between genders of an invasive dioecious tree on desert plants,"Avendano-Gonzalez, Marcela; Badano, Ernesto I.; Ramirez-Albores, Jorge E.; Flores, Joel; Flores-Cano, Jorge A.",BOTANICAL SCIENCES,2016,y,title,not cacti,,,
240,Overview of Cactus (Opuntia Ficus-Indica (L): A Myriad of Alternatives,"Isaac, Agholor Azikiwe",STUDIES ON ETHNO-MEDICINE,2016,y,abstract,review,,,
241,ANALYSIS OF PHYSICAL AND CHEMICAL CHARACTERISTICS OF THE PULP OF Opuntia elatior Miller FRUIT,"Jhoany, Gallardo; Yanira, Teran; Yelitza, Mujica; Elimar, Rodriguez; Humberto, Barazarte; Deysi, Petit; Ramon, D'Aubeterre",AGROINDUSTRIA SOCIEDAD Y AMBIENTE ASA,2016,y,abstract,not allocation,,,
242,Floral traits and pollination system of Zygophyllum xanthoxylum in the managed and wild populations in an arid region of Northwest China,Chen Min; Zhao Xueyong; Zuo Xiao'an; Lian Jie; Zhu Yangchun,JOURNAL OF ARID LAND,2015,y,title,not fruit,,,
243,ARTIFICIAL POLLINATION AND FRUIT QUALITY IN RED PITAYA,"de Menezes, Thatiane Padilha; Ramos, Jose Darlan; Bruzi, Adriano Teodoro; Costa, Ana Claudia",BIOSCIENCE JOURNAL,2015,y,abstract,not free,could not download,,
244,EXPERIMENTAL EVIDENCE FOR REPRODUCTIVE ISOLATION BETWEEN ASTROPHYTUM COAHUILENSE (H. MOLLER) KAYSER AND A-CAPRICORNE VAR. SENILE (FRIC) OKUMURA (CACTACEAE),"Montanucci, Richard R.",HASELTONIA,2015,y,title,not cacti,,,
245,Tests for evaluating the physiological quality of pitaya seeds,"Ortiz, Thiago Alberto; Moritz, Aline; Assari Takahashi, Lucia Sadayo; Urbano, Mariana Ragassi",SEMINA-CIENCIAS AGRARIAS,2015,y,abstract,not allocation,,,
246,REPRODUCTIVE ABILITY AND POSIBILITIES OF RESTORATION OF THE GENUS PARODIA SPEG. (CACTACEAE JUSS.) IN GREENHOUSES CONDITIONS,"Baglay, Kateryna",MODERN PHYTOMORPHOLOGY,2015,y,title,not allocation,,,
247,"Opuntia gallegiana, a New Speices Producer of Xoconostle of Zacatecas, Mexico (Cactaceae)","Scheinvar, Leia; Olalde, Gabriel",NOVON,2014,y,title,not allocation,,,
248,"Opuntia tezontepecana, a New Species of Cactaceae of the State of Hidalgo, Mexico","Gallegos, Clemente; Scheinvar, Leia",NOVON,2014,y,title,not allocation,,,
249,Exceptional reduction of the plastid genome of saguaro cactus (Carnegiea gigantea): Loss of the ndh gene suite and inverted repeat,"Sanderson, Michael J.; Copetti, Dario; Burquez, Alberto; Bustamante, Enriquena; Charboneau, Joseph L. M.; Eguiarte, Luis E.; Kumar, Sudhir; Lee, Hyun Oh; Lee, Junki; McMahon, Michelle; Steele, Kelly; Wing, Rod; Yang, Tae-Jin; Zwickl, Derrick; Wojciechowski, Martin F.",AMERICAN JOURNAL OF BOTANY,2015,y,title,not allocation,,,
250,Balancing anti-herbivore benefits and anti-pollinator costs of defensive mutualists,"Ohm, Johanna R.; Miller, Tom E. X.",ECOLOGY,2014,y,title,not allocation,,,
251,Life-history traits predict perennial species response to fire in a desert ecosystem,"Shryock, Daniel F.; DeFalco, Lesley A.; Esque, Todd C.",ECOLOGY AND EVOLUTION,2014,y,full text,not fruit,,,
252,"Seed mass, germination and seedling traits for some central Argentinian cacti","Sosa Pivatto, Maria; Funes, Guillermo; Ferreras, Ana E.; Gurvich, Diego E.",SEED SCIENCE RESEARCH,2014,y,full text,does not compare across seed or fruit metrics,,,
253,Effect of light on seed germination and seedling shape of succulent species from Mexico,"Flores, Joel; Gonzalez-Salvatierra, Claudia; Jurado, Enrique",JOURNAL OF PLANT ECOLOGY,2016,y,full text,does not compare across seed or fruit metrics,,,
254,Are seed mass and seedling size and shape related to altitude? Evidence in Gymnocalycium monvillei (Cactaceae),"Bauk, Karen; Perez-Sanchez, Reyes; Zeballos, Sebastian R.; Penas, M. Laura Las; Flores, Joel; Gurvich, Diego E.",BOTANY,2015,y,abstract,not free,could not download,,
255,Very fast germination: additional records and relationship to embryo size and phylogeny,"Parsons, Robert F.; Vandelook, Filip; Janssens, Steven B.",SEED SCIENCE RESEARCH,2014,y,title,not fruit,,,
256,"Assessing the importance of multiple threats to an endangered globose cactus in Mexico: Cattle grazing, looting and climate change","Martorell, Carlos; Montanana, Delfin M.; Ureta, Carolina; Mandujano, Maria C.",BIOLOGICAL CONSERVATION,2015,y,title,not allocation,,,
257,"Morphological variation, management and domestication of 'maguey alto' (Agave inaequidens) and 'maguey manso' (A-hookeri) in Michoacan, Mexico","Julia Figueredo, Carmen; Casas, Alejandro; Colunga-GarciaMarin, Patricia; Nassar, Jafet M.; Gonzalez-Rodriguez, Antonio",JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,2014,y,title,not cacti,,,
258,Conserving seeds of useful wild plants in Mexico: main issues and recommendations,"Rodriguez-Arevalo, Isela; Mattana, Efisio; Garcia, Lilia; Liu, Udayangani; Lira, Rafael; Davila, Patricia; Hudson, Alex; Pritchard, Hugh W.; Ulian, Tiziana",GENETIC RESOURCES AND CROP EVOLUTION,2017,y,title,not allocation,,,
259,Seed characteristics in Cactaceae: Useful diagnostic features for screening species for invasiveness?,"Novoa, A.; Rodriguez, J.; Lopez-Nogueira, A.; Richardson, D. M.; Gonzalez, L.",SOUTH AFRICAN JOURNAL OF BOTANY,2016,y,title,not allocation,,,
260,"Population dynamics of Mammillaria humboldtii, an endemic cactus from Hidalgo state, Mexico","Martinez-Ramos, Marisol; Arroyo-Cosultchi, Gabriel; Maria Mandujano, C.; Golubov, Jordan",BOTANICAL SCIENCES,2016,y,title,not fruit,,,
261,The population dynamics of an endemic collectible cactus,"Mandujano, Maria C.; Bravo, Yolotzin; Verhulst, Johannes; Carrillo-Angeles, Israel; Golubov, Jordan",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2015,y,title,not fruit,,,
262,2C DNA Value of Persian Poppy (Papaver bracteatum Lindl.) Medicinal Plant As Revealed By Flow Cytometry Analysis; A Quick Effective Criteria for Distinguishing Unidentified Papaver Species,"Esfahani, Saeed Tarkesh; Karimzadeh, Ghasem; Naghavi, Mohammad Reza",INTERNATIONAL JOURNAL OF ADVANCED BIOTECHNOLOGY AND RESEARCH,2016,y,title,not cacti,,,
263,Pulse seedling recruitment on the population dynamics of a columnar cactus: Effect of an extreme rainfall event,"Arroyo-Cosultchi, Gabriel; Golubov, Jordan; Mandujano, Maria C.",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2016,y,title,not allocation,,,
264,Infiltration of a facultative ant-plant mutualism by the introduced Argentine ant: effects on mutualist diversity and mutualism benefits,"Ludka, John; Levan, Katherine E.; Holway, David A.",ECOLOGICAL ENTOMOLOGY,2015,y,title,not cacti,,,
265,Effects of seed colour heterogeneity on germination behaviour of the desert plant Lotononis platycarpa (Fabaceae),"Gairola, Sanjay; Shabana, Hatem A.; Mahmoud, Tamer; Santo, Andrea",NORDIC JOURNAL OF BOTANY,2018,y,title,not cacti,,,
266,In situ or ex situ seed conservation: which is the more effective way to maintain seed longevity of an endangered cactus?,"Bispo Nascimento, Joana Paula; Meiado, Marcos Vinicius",PLANT SPECIES BIOLOGY,2017,y,title,not allocation,,,
267,Biogeography and ecology of the genus Turbinicarpus (Cactaceae): environmental controls of taxa richness and morphology,"Donati, Davide; Bianchi, Claudia; Pezzi, Giovanna; Conte, Lucia; Hofer, Anton; Chiarucci, Alessandro",SYSTEMATICS AND BIODIVERSITY,2017,y,abstract,not allocation,,,
268,Seed dormancy in Stachytarpheta species (Verbenaceae) from high-altitude sites in south-eastern Brazil,"Barreto, Leilane C.; Santos, Fernando M. G.; Garcia, Queila S.",FLORA,2016,y,title,not allocation,,,
269,"Nuclear genome size, ploidy level and endopolyploidy pattern in six species of Opuntia (Cactaceae)","Palomino, G.; Martinez, J.; Mendez, I.; Munoz-Urias, A.; Cepeda-Cornejo, V.; Pimienta-Barrios, E.",CARYOLOGIA,2016,y,title,not fruit,,,
270,EFFECT OF SCARIFICATION AND TEMPERATURE ON SEED GERMINATION OF TWO MEXICAN SPECIES OF MIMOSA (LEGUMINOSAE-MIMOSOIDEAE),"Adriana Montano-Arias, Susana; Lucia Camargo-Ricalde, Sara; Grether, Rosaura; Diaz-Pontones, David",BOTANICAL SCIENCES,2015,y,title,not allocation,,,
271,Zeaxanthin nanoencapsulation with Opuntia monacantha mucilage as structuring material: Characterization and stability evaluation under different temperatures,"de Campo, Camila; Dick, Melina; dos Santos, Priscilla Pereira; Haas Costa, Tania Maria; Paese, Karina; Guterres, Silvia Staniscuaski; Rios, Alessandro de Oliveira; Flores, Simone Hickmann",COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,2018,y,title,not fruit,,,
272,Stimulation of the germination and growth of different plant species using an electric field treatment with IrO2-Ta2O5 vertical bar Ti electrodes,"Acosta-Santoyo, Gustavo; Alheli Herrada, Rosa; De Folter, Stefan; Bustos, Erika",JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,2018,y,title,not allocation,,,
273,EXPLORATION OF VARIOUS INDONESIAN INDIGENOUS PLANTS AS NATURAL COAGULANTS FOR SYNTHETIC TURBID WATER,"Kristianto, Hans; Paulina, Sylvia; Soetedjo, Jenny Novianti Muliarahayu",INTERNATIONAL JOURNAL OF TECHNOLOGY,2018,y,title,not fruit,,,
274,Studies on convective drying of 'Ameclyae' Opuntia ficus-indica seeds and its effect on the quality of extracted oil based on its alpha-tocopherol content,"Hassini, Lamine; Bettaieb, Emna; Motri, Samia; Desmorieux, Helene",HEAT AND MASS TRANSFER,2018,y,title,not allocation,,,
275,Hydrochory in seeds of Agave victoriae-reginae T. Moore endangered species: Morphology and anatomy as facilitators of hydro-dispersion and germination,"Sanchez-Salas, Jaime; Flores, Joel; Jurado, Enrique; Saenz-Mata, Jorge; Orozco-Figueroa, Pedro; Muro Perez, Gisela",GAYANA BOTANICA,2017,y,title,not fruit,,,
276,"Heteromorphism in seeds of Leptocereus scopulophilus (Cactaceae) from Pan de Matanzas, Cuba","Angel Garcia-Beltran, Jose; Barrios, Duniel; Cuza-Perez, Alina",SEED SCIENCE RESEARCH,2017,y,abstract,not allocation,,,
277,"Effect of salinity on seed germination, growth and metabolic activity of pitaya seedlings [Stenocereus thurberi (Engelm.) Buxb.]","Orozco, Antonio; Gardea, Alfonso A.; Rascon-Chu, Agustin; Sanchez, Alfonso",JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2017,y,title,not allocation,,,
278,POLLEN LIMITATION IN A RARE CACTUS WITH SYNCHRONOUS MASS FLOWERING,"Martinez-Peralta, C.; Mandujano, M. C.",HASELTONIA,2016,y,title,not fruit,,,
279,ALLOMETRIC RELATIONSHIPS BETTER EXPLAIN SEED COAT MICROSCULPTURE TRAITS IN MENTZELIA SECTION BARTONIA (LOASACEAE) THAN ECOLOGY OR DISPERSAL,"Schenk, John J.; Sullivan, Melissa T.; Washburn, George A.; Franta, Roxanne C.; Chambers, Malinda L.",INTERNATIONAL JOURNAL OF PLANT SCIENCES,2016,y,title,not cacti,,,
280,"Gymnocalycium campestre (Cactaceae, Trichocereeae), a New Species from Cordoba, Argentina","Repka, Radomir; Koutecky, Petr; Vahalik, Petr",NOVON,2015,y,title,not allocation,,,
281,Application of Opuntia ficus-indica in bioremediation of wastewaters. A critical review,"Nharingo, Tichaona; Moyo, Mambo",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2016,y,title,review,,,
282,Diversity and genetic structure of the husk tomato (Physalis philadelphica Lam.) in Western Mexico,"Zamora-Tavares, Pilar; Vargas-Ponce, Ofelia; Sanchez-Martinez, Jose; Cabrera-Toledo, Danae",GENETIC RESOURCES AND CROP EVOLUTION,2015,y,title,not cacti,,,
283,"Agroforestry systems in the highlands of the Tehuacan Valley, Mexico: indigenous cultures and biodiversity conservation","Vallejo, Mariana; Casas, Alejandro; Blancas, Jose; Moreno-Calles, Ana I.; Solis, Leonor; Rangel-Landa, Selene; Davila, Patricia; Tellez, Oswaldo",AGROFORESTRY SYSTEMS,2014,y,title,not allocation,,,
284,Protein enrichment of an Opuntia ficus-indica cladode hydrolysate by cultivation of Candida utilis and Kluyveromyces marxianus,"Akanni, Gabriel B.; du Preez, James C.; Steyn, Laurinda; Kilian, Stephanus G.",JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,2015,y,title,not allocation,,,
285,"Pre-plant soil fumigation with reduced rates under low permeability films for nursery production, orchard and vineyard replanting","Cabrera, J. Alfonso; Hanson, Bradley D.; Gerik, James S.; Gao, Suduan; Qin, Ruijun; Wang, Dong",CROP PROTECTION,2015,y,title,not cacti,,,
286,EFFECT OF COMBINATIONS OF NITROGEN AND POTASSIUM ON THE GROWTH OF DRAGON FRUIT (Hylocereus undatus),"Bernardo Almeida, Edmilson Igor; de Medeiros Correa, Marcio Cleber; Crisostomo, Lindbergue Araujo; de Araujo, Neimar Arcanjo; do Vale Silva, Julio Cesar",REVISTA BRASILEIRA DE FRUTICULTURA,2014,y,full text,not english,,,
287,Bioactive compounds and antioxidant activity evolution during the ripening process of 12 Opuntia spp. fruit accessions,"Manuel Pinedo-Espinoza, Jose; Leobardo Aguirre-Mancilla, Cesar; Jimenez-Alvarado, Ruben; Carlos Raya-Perez, Juan; Iturriaga, Gabriel; Gabriel Ramirez-Pimentel, Juan; Delia Hernandez-Fuentes, Alma",EMIRATES JOURNAL OF FOOD AND AGRICULTURE,2017,y,title,not allocation,,,
288,Feather isotope analysis reveals differential patterns of habitat and resource use in populations of white-winged doves,"Carleton, Scott A.; Del Rio, Carlos Martinez; Robinson, Timothy J.",JOURNAL OF WILDLIFE MANAGEMENT,2015,y,title,not cacti,,,
289,"The structural characteristics, economic performance and prospects for the Italian cactus pear industry","Timpanaro, Giuseppe; Foti, Vera Teresa",JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2014,y,title,not cacti,,,
290,Life cycle assessment of oil palm empty fruit bunch delignification using natural malic acid-based low-transition-temperature mixtures: a gate-to-gate case study,"Yiin, Chung Loong; Yusup, Suzana; Quitain, Armando T.; Uemura, Yoshimitsu; Sasaki, Mitsuru; Kida, Tetsuya",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,2018,y,title,not allocation,,,
291,BIOCONVERSION OF VEGETABLE WASTE TO BIOGAS FROM RUMINAL MICROORGANISMS,"German Campos-Montiel, Rafael; Enrique Del Razo-Rodriguez, Oscar; Almaraz-Buendia, Isaac; Ramirez-Bribiesca, Efren; Soriano-Robles, Ramon; Armando Salinas-Martinez, Jesus; Arias-Margarito, Ladislao; Segundo Gonzalez-Munoz, Sergio",REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,2018,y,title,not cacti,,,
292,Growth and gas exchange in white pitaya under different concentrations of potassium and calcium,"Cajazeira, Joao Paulo; de Medeiros Correa, Marcio Cleber; Bernardo Almeida, Edmilson Igor; Queiroz, Ronialison Fernandes; Mesquita, Rosilene Oliveira",REVISTA CIENCIA AGRONOMICA,2018,y,full text,not fruit,,,
293,"Cactus Pear in Jordan - Current Status, Potential and Opportunities","Nasr, Y.",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,y,title,not allocation,,,
294,R&D of Pitahayas - Dragonfruit - Vine Cacti: Limitations and Challenges and the Current Global Market,"Tel-Zur, N.",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,y,title,not allocation,,,
295,"Costs, Revenues and Incomes of Sicilian Farms that Cultivate Cactus Pear","Tudisca, S.; Di Trapani, A. M.; Sgroi, F.; Testa, R.",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,y,title,not allocation,,,
